"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"199","g__Alternaria",0.068597348884809,-0.184165355880837,0.504014896244886,0.387661540020771,0.136101828330644,-0.475067389638317,0.892705649241707,0.638149519462488,1,0.908946568115507,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"200","g__Knufia",-0.0827512545380377,1.32404302260018,1.22900412849447,1.68348731088803,-0.0673319581435482,0.786488269936382,0.95247676363438,0.514416746684976,1,0.850547388771,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"201","g__Aspergillus",0.0159837679644616,0.606750522668023,0.799521202970379,0.436970614688351,0.0199916748987753,1.38853850184127,0.985095904197383,0.197808497481923,1,0.631470220845942,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"202","g__Candida-Lodderomyces_clade",-0.0529280888141524,-0.388550978258082,0.727364728485064,0.720149155458136,-0.0727669169831614,-0.539542364679853,0.944170041239973,0.598755380490806,1,0.901397586803609,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"203","g__Debaryomyces",0.00199559245139119,0.248716487918196,0.884922593308557,0.991081966706951,0.00225510396782847,0.25095450858076,0.998287896636513,0.811836063746421,1,0.988555145272259,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"204","g__Candida",-0.496752965305202,0.610485912467295,1.09022155920614,1.24500026130046,-0.455644048781169,0.490350027581211,0.681749761034681,0.652934608791883,1,0.913460452527409,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"205","g__Clavispora-Candida_clade",-0.969794827677886,1.01154137181127,1.11027529305478,0.655968099588584,-0.873472402515251,1.54205878676981,0.436923740799881,0.187361285633985,1,0.631470220845942,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"206","g__Saccharomyces",0.679446770498791,-1.17183108341414,0.908544232375964,1.17783239616287,0.74784115763076,-0.994904782065522,0.484100639775835,0.371831396316993,1,0.749442079284015,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"207","g__Hanseniaspora",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"208","g__Acremonium",0.732584300086937,-0.837080706723987,0.753887225826092,0.75754439958084,0.971742556433674,-1.10499227132714,0.374366925696147,0.309687078723123,1,0.714071789888982,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"209","g__Fusarium",0.089090086528309,0.0404630901451176,0.642110410522445,0.737241776751657,0.138745743829043,0.0548844238363716,0.891777327015145,0.95706506690934,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"210","g__Arthrinium",-0.711418167323676,1.19799717649187,0.88912099220627,0.996342831568023,-0.800136509608618,1.20239453583109,0.459941860694837,0.283041375151539,1,0.703109658821301,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"211","g__Symmetrospora",1.00967472795952,-1.4559335094136,0.910027938190356,1.05690922426944,1.10949860502889,-1.37753884248667,0.329422665446329,0.240399431271007,1,0.684681924506034,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"212","g__Malassezia",0.00888168762910793,0.481954613851278,0.49311667462049,0.30874548778946,0.0180113309612647,1.56100941685643,0.985785829600827,0.12266788388002,1,0.541181840647149,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"213","g__Rhodotorula",-0.649729859184749,1.04826158415979,0.591599646709198,0.588974247746235,-1.09825937658838,1.77980885950626,0.303949867535961,0.0939591875158975,1,0.541181840647149,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"214","g__Puccinia",-0.046799347679031,0.56830408309229,0.760222481394898,0.704161268711632,-0.0615600680384523,0.807065239660351,0.953499579749079,0.445726919438603,1,0.821376950319151,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"215","g__Cystofilobasidium",-0.355487033831941,-0.0414688563641005,0.873285350376414,0.464101663757919,-0.407068587236365,-0.0893529577729141,0.711262330098378,0.943708834541744,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"216","g__Filobasidium",-0.190831917657714,0.400823302773879,0.513946627816496,0.534716705557849,-0.371306877658609,0.749599364687355,0.715967763905707,0.465906414953415,1,0.824686168838996,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"217","g__Naganishia",0.783649316755991,-1.21045539592379,0.574545283098974,0.0746009236435322,1.36394700262641,-16.2257427496172,0.218637899411474,0.995816337352116,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"218","g__Hannaella",1.21349774501049,-1.55184523991641,0.749494559303794,0.454095044450381,1.61908813072333,-3.41744588249075,0.181080178466595,0.154411956756946,1,0.579044837838548,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"219","g__Vishniacozyma",-0.294442747945688,0.713656709829702,0.637441997379672,0.695207785556486,-0.461913004094572,1.02653728087704,0.654029261356476,0.328828718735093,1,0.714071789888982,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"220","g__Wallemia",0.200481120528834,-0.453188670790028,1.04679034767723,1.72591156751036,0.19151984060007,-0.262579311316487,0.857447297338178,0.805844042486864,1,0.988555145272259,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"221","g__Mucor",-0.608063376682786,0.639726541745706,0.984359791649803,1.1851740960956,-0.617724720006759,0.539774319952824,0.604178067999511,0.602506411842406,1,0.901397586803609,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"222","g__Rhizopus",-0.906341768002904,1.53268910309124,0.8877624093258,0.837518524815054,-1.02092830072768,1.83003606210346,0.356395778006995,0.117933056463185,1,0.541181840647149,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"223","g__Magnoliophyta",0.108297179776573,0.0822755643594273,0.43905567297805,0.439220641095607,0.246659333751478,0.187321716379714,0.806013857154973,0.85204041343029,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"224","g__Pinophyta",-0.273997336145114,0.597661920109993,0.719334284221558,0.730889335253434,-0.380904041632918,0.817718758890844,0.713097328012052,0.426599803072669,1,0.811910459541892,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"225","g__Mammalia",-0.067822059293198,0.34252230215327,0.518679755497314,0.453056494928332,-0.130759025341503,0.756025586185344,0.896710804425636,0.452669963731443,1,0.821376950319151,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
